ID;Name;Position;Number;Club;CountryOfClub;DateOfBirth;Age;HeightCM;Country;Caps;Goals;PlaysInHomeCountry
336869;Alex IBARRA;Midfielder;5;Vitesse Arnheim;Netherlands;20/jan/91;23;171;Ecuador;17;0;No
315614;Santiago ARIAS;Defender;4;PSV Eindhoven;Netherlands;13/jan/92;22;171;Columbia;5;0;No
332827;Carlos GRUEZO;Midfielder;23;VfB Stuttgart;Germany;19/abr/95;19;171;Ecuador;2;0;No
368902;Adam TAGGART;Forward;9;Newcastle United Jets FC;Australia;02/jun/93;21;172;Australia;4;3;Yes
228528;Sergio AGUERO;Forward;20;Manchester City FC;England;02/jun/88;26;172;Argentina;50;21;No
268596;Shinji KAGAWA;Forward;10;Manchester United FC;England;17/mar/89;25;172;Japan;56;18;No
367393;Majeed WARIS;Forward;18;Valenciennes FC;France;19/set/91;22;172;Ghana;12;3;No
273996;Eden HAZARD;Midfielder;10;Chelsea FC;England;07/jan/91;23;172;Belgium;45;6;No
200262;Landry NGUEMO;Midfielder;7;FC Girondins Bordeaux;France;28/nov/85;28;172;Cameroon;39;2;No
305768;Leighton BAINES;Defender;3;Everton FC;England;11/dez/84;29;172;England;23;1;Yes
347716;Hiroshi KIYOTAKE;Forward;8;1. FC Nuernberg;Germany;12/nov/89;24;172;Japan;25;1;No
210702;Danijel PRANJIC;Defender;3;Panathinaikos FC;Greece;02/dez/81;32;172;Croatia;49;0;No
214571;Rio MAVUBA;Midfielder;12;Lille OSC;France;08/mar/84;30;172;France;11;0;Yes
214407;JOAO PEREIRA;Defender;21;Valencia CF;Spain;25/fev/84;30;172;Portugal;35;0;No
365747;Edin VISCA;Forward;19;Istanbul BBSK;Turkey;17/fev/90;24;172;Bosnia & Herzegovina;10;0;No
269071;Daniel OPARE;Defender;4;Standard Liege;Belgium;18/out/90;23;172;Ghana;16;0;No
330565;Jack WILSHERE;Midfielder;7;Arsenal FC;England;01/jan/92;22;172;England;16;0;Yes
369094;Julian GREEN;Midfielder;16;FC Bayern Muenchen;Germany;06/jun/95;19;172;USA;2;0;No
274946;Emmanuel AGYEMANG BADU;Midfielder;8;Udinese Calcio;Italy;02/dez/90;23;173;Ghana;47;7;No
229392;Ezequiel LAVEZZI;Forward;22;Paris Saint-Germain FC;France;03/mai/85;29;173;Argentina;29;4;No
305378;Nicolas LODEIRO;Midfielder;14;Botafogo FR;Brazil;21/mar/89;25;173;Uruguay;26;3;No
241559;Luka MODRIC;Midfielder;10;Real Madrid CF;Spain;09/set/85;28;173;Croatia;74;8;No
184447;Walter AYOVI;Midfielder;10;CF Pachuca;Mexico;11/ago/79;34;173;Ecuador;89;8;No
296297;Mario MARTINEZ;Midfielder;23;Real Espana;Honduras;30/jul/89;24;173;Honduras;36;3;Yes
202655;Jorge VALDIVIA;Midfielder;10;Palmeiras;Brazil;19/out/83;30;173;Chile;56;4;No
305972;Joao ROJAS;Forward;9;Cruz Azul FC;Mexico;14/jun/89;25;173;Ecuador;29;2;No
290824;Steven DEFOUR;Midfielder;16;FC Porto;Portugal;15/abr/88;26;173;Belgium;43;2;No
286481;Maximiliano PEREIRA;Defender;16;SL Benfica;Portugal;08/jun/84;30;173;Uruguay;89;3;No
356466;Hotaru YAMAGUCHI;Midfielder;16;Cerezo Osaka;Japan;06/out/90;23;173;Japan;11;0;Yes
371042;Isaac BRIZUELA;Midfielder;17;Deportivo Toluca FC;Mexico;28/ago/90;23;173;Mexico;7;0;Yes
368708;RAFA;Forward;15;Sporting Braga;Portugal;17/mai/93;21;173;Portugal;2;0;Yes
286278;Shinji OKAZAKI;Forward;9;FSV Mainz 05;Germany;16/abr/86;28;174;Japan;75;38;No
297839;Konan YA;Midfielder;13;Hannover 96;Germany;22/mai/84;30;174;Ivory Coast;24;7;No
218284;MARCELO;Defender;6;Real Madrid CF;Spain;12/mai/88;26;174;Brazil;30;4;No
349592;Eugenio MENA;Defender;2;Santos FC;Brazil;18/jul/88;25;174;Chile;24;3;No
245156;Jose ROJAS;Defender;13;Club Universidad de Chile;Chile;23/jun/83;30;174;Chile;18;1;Yes
197409;Matt McKAY;Midfielder;17;Brisbane Roar FC;Australia;11/jan/83;31;174;Australia;46;1;Yes
